,movie,overview,preprocessed
0,Побег из Шоушенка ,Бухгалтер Энди Дюфрейн обвинён в убийстве собственной жены и её любовника. Оказавшись в тюрьме под названием Шоушенк; он сталкивается с жестокостью и беззаконием; царящими по обе стороны решётки. Каждый; кто попадает в эти стены; становится их рабом до конца жизни. Но Энди; обладающий живым умом и доброй душой; находит подход как к заключённым; так и к охранникам; добиваясь их особого к себе расположения.,"['бухгалтер', 'энд', 'дюфрейн', 'обвин', 'убийств', 'собствен', 'жен', 'любовник', 'оказа', 'тюрьм', 'назван', 'шоушенк', 'сталкива', 'жесток', 'беззакон', 'царя', 'об', 'сторон', 'решетк', 'попада', 'стен', 'станов', 'раб', 'конц', 'жизн', 'энд', 'облада', 'жив', 'ум', 'добр', 'душ', 'наход', 'подход', 'заключен', 'охранник', 'добив', 'особ', 'расположен']"
1,Зеленая миля ,Пол Эджкомб — начальник блока смертников в тюрьме «Холодная гора»; каждый из узников которого однажды проходит «зеленую милю» по пути к месту казни. Пол повидал много заключённых и надзирателей за время работы. Однако гигант Джон Коффи; обвинённый в страшном преступлении; стал одним из самых необычных обитателей блока.,"['пол', 'эджкомб', 'начальник', 'блок', 'смертник', 'тюрьм', 'холодн', 'гор', 'узник', 'проход', 'зелен', 'мил', 'пут', 'мест', 'казн', 'пол', 'повида', 'заключен', 'надзирател', 'работ', 'гигант', 'джон', 'кофф', 'обвинен', 'страшн', 'преступлен', 'одн', 'сам', 'необычн', 'обитател', 'блок']"
2,Форрест Гамп ,От лица главного героя Форреста Гампа; слабоумного безобидного человека с благородным и открытым сердцем; рассказывается история его необыкновенной жизни.Фантастическим образом превращается он в известного футболиста; героя войны; преуспевающего бизнесмена. Он становится миллиардером; но остается таким же бесхитростным; глупым и добрым. Форреста ждет постоянный успех во всем; а он любит девочку; с которой дружил в детстве; но взаимность приходит слишком поздно.,"['лиц', 'главн', 'геро', 'форрест', 'гамп', 'слабоумн', 'безобидн', 'человек', 'благородн', 'открыт', 'сердц', 'рассказыва', 'истор', 'необыкновен', 'жизн', 'фантастическ', 'образ', 'превраща', 'известн', 'футболист', 'геро', 'войн', 'преуспева', 'бизнесм', 'станов', 'миллиардер', 'оста', 'так', 'бесхитростн', 'глуп', 'добр', 'форрест', 'ждет', 'постоя', 'успех', 'люб', 'девочк', 'друж', 'детств', 'взаимност', 'приход', 'поздн']"
3,Список Шиндлера ,Фильм рассказывает реальную историю загадочного Оскара Шиндлера; члена нацистской партии; преуспевающего фабриканта; спасшего во время Второй мировой войны почти 1200 евреев.,"['фильм', 'рассказыва', 'реальн', 'истор', 'загадочн', 'оскар', 'шиндлер', 'член', 'нацистск', 'парт', 'преуспева', 'фабрикант', 'спасш', 'миров', 'войн', 'евре']"
4,1+1 ,Пострадав в результате несчастного случая; богатый аристократ Филипп нанимает в помощники человека; который менее всего подходит для этой работы; — молодого жителя предместья Дрисса; только что освободившегося из тюрьмы. Несмотря на то; что Филипп прикован к инвалидному креслу; Дриссу удается привнести в размеренную жизнь аристократа дух приключений.,"['пострада', 'результат', 'несчастн', 'случ', 'богат', 'аристократ', 'филипп', 'нанима', 'помощник', 'человек', 'подход', 'работ', 'молод', 'жител', 'предмест', 'дрисс', 'освобод', 'тюрьм', 'несмотр', 'филипп', 'прикова', 'инвалидн', 'кресл', 'дрисс', 'уда', 'привнест', 'размерен', 'аристократ', 'дух', 'приключен']"
5,Начало ,Кобб — талантливый вор; лучший из лучших в опасном искусстве извлечения: он крадет ценные секреты из глубин подсознания во время сна; когда человеческий разум наиболее уязвим. Редкие способности Кобба сделали его ценным игроком в привычном к предательству мире промышленного шпионажа; но они же превратили его в извечного беглеца и лишили всего; что он когда-либо любил. И вот у Кобба появляется шанс исправить ошибки. Его последнее дело может вернуть все назад; но для этого ему нужно совершить невозможное — инициацию. Вместо идеальной кражи Кобб и его команда спецов должны будут провернуть обратное. Теперь их задача — не украсть идею; а внедрить ее. Если у них получится; это и станет идеальным преступлением. Но никакое планирование или мастерство не могут подготовить команду к встрече с опасным противником; который; кажется; предугадывает каждый их ход. Врагом; увидеть которого мог бы лишь Кобб.,"['кобб', 'талантлив', 'вор', 'лучш', 'лучш', 'опасн', 'искусств', 'извлечен', 'крадет', 'цен', 'секрет', 'глубин', 'подсознан', 'сна', 'человеческ', 'разум', 'уязв', 'редк', 'способн', 'кобб', 'сдела', 'цен', 'игрок', 'привычн', 'предательств', 'мир', 'промышлен', 'шпионаж', 'преврат', 'извечн', 'беглец', 'лиш', 'либ', 'люб', 'кобб', 'появля', 'шанс', 'исправ', 'ошибк', 'последн', 'дел', 'вернут', 'соверш', 'невозможн', 'инициац', 'вмест', 'идеальн', 'краж', 'кобб', 'команд', 'спец', 'должн', 'провернут', 'обратн', 'задач', 'украст', 'ид', 'внедр', 'получ', 'станет', 'идеальн', 'преступлен', 'никак', 'планирован', 'мастерств', 'подготов', 'команд', 'встреч', 'опасн', 'противник', 'предугадыва', 'ход', 'враг', 'увидет', 'кобб']"
6,Леон ,Профессиональный убийца Леон; не знающий пощады и жалости; знакомится со своей очаровательной соседкой Матильдой; семью которой расстреливают полицейские; замешанные в торговле наркотиками. Благодаря этому знакомству он впервые испытывает чувство любви; но…,"['профессиональн', 'убийц', 'леон', 'знающ', 'пощад', 'жалост', 'знаком', 'очаровательн', 'соседк', 'матильд', 'сем', 'расстрелива', 'полицейск', 'замеша', 'торговл', 'наркотик', 'благодар', 'знакомств', 'вперв', 'испытыва', 'чувств', 'любв']"
7,Король Лев ,У величественного Короля-Льва Муфасы рождается наследник по имени Симба. Уже в детстве любознательный малыш становится жертвой интриг своего завистливого дяди Шрама; мечтающего о власти.Симба познаёт горе утраты; предательство и изгнание; но в конце концов обретает верных друзей и находит любимую. Закалённый испытаниями; он в нелёгкой борьбе отвоёвывает своё законное место в «Круге жизни»; осознав; что значит быть настоящим Королём.,"['величествен', 'корол', 'льва', 'муфас', 'рожда', 'наследник', 'имен', 'симб', 'детств', 'любознательн', 'малыш', 'станов', 'жертв', 'интриг', 'завистлив', 'дяд', 'шрам', 'мечта', 'власт', 'симб', 'позна', 'гор', 'утрат', 'предательств', 'изгнан', 'конц', 'конц', 'обрета', 'верн', 'друз', 'наход', 'любим', 'закален', 'испытан', 'нелегк', 'борьб', 'отвоевыва', 'сво', 'закон', 'мест', 'круг', 'жизн', 'осозна', 'настоя', 'корол']"
8,Бойцовский клуб ,Сотрудник страховой компании страдает хронической бессонницей и отчаянно пытается вырваться из мучительно скучной жизни. Однажды в очередной командировке он встречает некоего Тайлера Дёрдена — харизматического торговца мылом с извращенной философией. Тайлер уверен; что самосовершенствование — удел слабых; а единственное; ради чего стоит жить — саморазрушение.Проходит немного времени; и вот уже новые друзья лупят друг друга почем зря на стоянке перед баром; и очищающий мордобой доставляет им высшее блаженство. Приобщая других мужчин к простым радостям физической жестокости; они основывают тайный Бойцовский клуб; который начинает пользоваться невероятной популярностью.,"['сотрудник', 'страхов', 'компан', 'страда', 'хроническ', 'бессонниц', 'отчая', 'пыта', 'вырва', 'мучительн', 'скучн', 'жизн', 'очередн', 'командировк', 'встреча', 'неко', 'тайлер', 'дерд', 'харизматическ', 'торговц', 'мыл', 'извращен', 'философ', 'тайлер', 'увер', 'самосовершенствован', 'удел', 'слаб', 'единствен', 'рад', 'сто', 'жит', 'саморазрушен', 'проход', 'нов', 'друз', 'луп', 'друг', 'друг', 'поч', 'зря', 'стоянк', 'бар', 'очища', 'мордоб', 'доставля', 'высш', 'блаженств', 'приобщ', 'мужчин', 'прост', 'радост', 'физическ', 'жесток', 'основыва', 'тайн', 'бойцовск', 'клуб', 'начина', 'пользова', 'невероятн', 'популярн']"
9,Иван Васильевич меняет профессию ,Инженер-изобретатель Тимофеев сконструировал машину времени; которая соединила его квартиру с далеким шестнадцатым веком — точнее; с палатами государя Ивана Грозного. Туда-то и попадают тезка царя пенсионер-общественник Иван Васильевич Бунша и квартирный вор Жорж Милославский.На их место в двадцатом веке «переселяется» великий государь. Поломка машины приводит ко множеству неожиданных и забавных событий…,"['инженер', 'изобретател', 'тимофе', 'сконструирова', 'машин', 'соедин', 'квартир', 'далек', 'шестнадцат', 'век', 'точн', 'палат', 'государ', 'ива', 'грозн', 'попада', 'тезк', 'цар', 'пенсионер', 'общественник', 'ива', 'васильевич', 'бунш', 'квартирн', 'вор', 'жорж', 'милославск', 'мест', 'двадцат', 'век', 'переселя', 'велик', 'государ', 'поломк', 'машин', 'привод', 'множеств', 'неожида', 'забавн', 'событ']"
